seqnum,0_id,20_id,40_id,60_id,80_id
2800,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,30bsbF_g222NPl0quoBdmQ
2900,ppFp_4y9e5-XePoJF5s5JQ,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3000,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3100,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3200,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3300,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3400,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3500,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3600,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3700,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3800,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
3900,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
4000,AUAZQsUNjIu5WiIr-2Oxhg,fb0bQ5A2RC3eC25bfqu-Yg,zWdjUeOKW1W8Z7CsKX2gjQ,LyCDbWEAXPGy2C7HVHYPNg,mpxW-vRE_IvlTnpzeWQpLg
