seqnum,0_id,20_id,40_id,60_id,80_id
2800,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
2900,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
3000,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
3100,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
3200,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
3300,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
3400,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,nvlSeUcYEMWsjMGo1KRmmA
3500,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,6plGzoH1njKPVOtBn-qQ3w
3600,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,6plGzoH1njKPVOtBn-qQ3w
3700,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,6plGzoH1njKPVOtBn-qQ3w
3800,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,6plGzoH1njKPVOtBn-qQ3w
3900,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
4000,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,XY-MZG7DhTpxAdxyxS4W9w,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
4100,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
4200,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
4300,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
4400,BcUpBNrt_XV1p6NL4KkIjA,fetfgWcjZo7XC7YnwQXVfQ,AwT6xBjAXwGPIqJcF-nCcg,KSKgMxI3X0Y47P2DkBqa_g,G2yLwz05oRecbp7mLDhtLg
